id,university,country,city,continent,latitude,longitude,location_source
211,University of Bath,United Kingdom,Bath,Europe,51.375502,-2.324644,CBS MoveON snapshot 2026-09-21
212,University of Bristol,United Kingdom,Bristol,Europe,51.459071,-2.602221,CBS MoveON snapshot 2026-09-21
213,University of Edinburgh,United Kingdom,Edinburgh,Europe,55.947537,-3.186225,CBS MoveON snapshot 2026-09-21
214,University of Essex,United Kingdom,Colchester,Europe,51.877656,0.946192,CBS MoveON snapshot 2026-09-21
215,University of Exeter,United Kingdom,Exeter,Europe,50.734769,-3.535628,CBS MoveON snapshot 2026-09-21
216,University of Glasgow,United Kingdom,Glasgow,Europe,55.861621,-4.24514,CBS MoveON snapshot 2026-09-21
217,University of Leeds,United Kingdom,Leeds,Europe,53.805821,-1.55581,CBS MoveON snapshot 2026-09-21
218,University of Leicester,United Kingdom,Leicester,Europe,52.623308,-1.1248,CBS MoveON snapshot 2026-09-21
219,University of Liverpool,United Kingdom,Liverpool,Europe,53.404517,-2.964176,CBS MoveON snapshot 2026-09-21
220,University of Sheffield,United Kingdom,Sheffield,Europe,,,
221,University of Sheffield,United Kingdom,Sheffield,Europe,53.381056,-1.490825,CBS MoveON snapshot 2026-09-21
222,University of Strathclyde Glasgow,United Kingdom,Glasgow,Europe,55.872584,-4.28994,CBS MoveON snapshot 2026-09-21
223,University of Warwick,United Kingdom,Coventry,Europe,52.380498,-1.562762,CBS MoveON snapshot 2026-09-21
224,University of Westminster,United Kingdom,London,Europe,,,
225,University of Westminster,United Kingdom,London,Europe,51.516897,-0.142664,CBS MoveON snapshot 2026-09-21
226,Arizona State University,United States,Tempe,North America,33.424116,-111.927507,CBS MoveON snapshot 2026-09-21
227,Babson College,United States,Wellesley,North America,42.29822,-71.265431,CBS MoveON snapshot 2026-09-21
228,Bentley University,United States,Waltham,North America,42.389781,-71.239247,CBS MoveON snapshot 2026-09-21
229,Boston College,United States,Chestnut Hill / Boston,North America,42.349634,-71.099688,CBS MoveON snapshot 2026-09-21
230,Boston University,United States,Boston,North America,42.349634,-71.099688,CBS MoveON snapshot 2026-09-21
231,City University of New York,United States,New York City,North America,40.740159,-73.98339,CBS MoveON snapshot 2026-09-21
